employee_id,nome,role,ruolo,reparto_id,reparto_label,ore_dovute_mese_h,saldo_prog_iniziale_h,max_balance_delta_month_h,max_month_hours_h,max_week_hours_h,can_work_night,max_nights_week,max_nights_month,max_consecutive_nights,saturday_count_ytd,sunday_count_ytd,holiday_count_ytd,rest11h_max_monthly_exceptions,rest11h_max_consecutive_exceptions,pool_id,cross_max_shifts_month
E001,Santino Trezzini,infermiere,infermiere,degenza,Degenza,88,0,20,,,yes,2,8,4,2,3,4,2,1,DN_NURSE,
E002,Liliana Gemito,infermiere,infermiere,degenza,Degenza,88,40,20,,,yes,2,8,5,1,10,9,2,1,DN_NURSE,
E003,Lucio Telesio,infermiere,infermiere,degenza,Degenza,88,-40,20,,,yes,2,8,4,2,5,6,2,1,DN_NURSE,
E004,Antonello Antonelli,infermiere,infermiere,degenza,Degenza,88,40,20,,,yes,2,8,5,5,12,6,2,1,DN_NURSE,
E005,Giovanna Perozzo-Leoncavallo,infermiere,infermiere,degenza,Degenza,88,20,20,,,yes,2,8,4,12,4,1,2,1,DN_NURSE,
E006,Piermaria Boitani-Asprucci,infermiere,infermiere,degenza,Degenza,88,20,20,,,yes,2,8,5,4,5,4,2,1,DN_NURSE,
E007,Carla Ruggeri,infermiere,infermiere,degenza,Degenza,88,0,20,,,yes,2,8,4,1,2,9,2,1,DN_NURSE,
E008,Paride Togliatti-Marangoni,infermiere,infermiere,degenza,Degenza,88,0,20,,,yes,2,8,5,6,11,8,2,1,DN_NURSE,
E009,Sergius Grasso,infermiere,infermiere,degenza,Degenza,88,20,20,,,yes,2,8,4,11,4,6,2,1,DN_NURSE,
E010,Bianca Zaccagnini,infermiere,infermiere,degenza,Degenza,88,40,20,,,yes,2,8,5,8,8,5,2,1,DN_NURSE,
E011,Federico Zacco-Panicucci,infermiere,infermiere,degenza,Degenza,88,-40,20,,,yes,2,8,4,0,3,6,2,1,DN_NURSE,
E012,Giampiero Bonolis,infermiere,infermiere,degenza,Degenza,88,-20,20,,,yes,2,8,5,1,8,7,2,1,DN_NURSE,
E013,Sig. Orazio Soprano,oss,oss,degenza,Degenza,70,-20,20,,,no,0,0,0,6,7,6,2,1,DN_OSS,
E014,Zaira Pacetti,oss,oss,degenza,Degenza,70,-40,20,,,no,0,0,0,11,6,2,2,1,DN_OSS,
E015,Livia Foletti,oss,oss,degenza,Degenza,70,20,20,,,no,0,0,0,10,4,3,2,1,DN_OSS,
E016,Daria Tagliafierro,oss,oss,degenza,Degenza,70,-40,20,,,no,0,0,0,2,1,6,2,1,DN_OSS,
E017,Marcella Pellico-Mazzini,oss,oss,degenza,Degenza,70,0,20,,,no,0,0,0,1,4,7,2,1,DN_OSS,
E018,Pietro Petralli,oss,oss,degenza,Degenza,70,20,20,,,no,0,0,0,8,9,6,2,1,DN_OSS,
E019,Costanzo Mercati,oss,oss,degenza,Degenza,70,-20,20,,,no,0,0,0,5,12,4,2,1,DN_OSS,
E020,Sig.ra Marcella Respighi,oss,oss,degenza,Degenza,70,40,20,,,no,0,0,0,10,4,3,2,1,DN_OSS,
E021,Armando Lerner-Biagi,oss,oss,degenza,Degenza,70,40,20,,,no,0,0,0,6,1,2,2,1,DN_OSS,
E022,Roberta Storladi,medico,medico,degenza,Degenza,84,-20,20,,,no,0,0,0,7,10,3,2,1,DN_MED,
E023,Amalia Morrocco,medico,medico,degenza,Degenza,84,20,20,,,no,0,0,0,10,9,8,2,1,DN_MED,
